uniqu.name.id,group.nd.name,variants_count,variants_joined,collab_n,collab_start_week,collab_end_week
13,A20 MAY 쓰지에,4,A20 MAY 쓰지에 | 쓰지에 A20 MAY | 쓰지에 에이 투 오 메이 | 에이 투 오 메이 쓰지에,1,2025-W47,2025-W49
14,A20 MAY 천위,4,A20 MAY 천위 | 에이 투 오 메이 천위 | 천위 A20 MAY | 천위 에이 투 오 메이,1,2025-W47,2025-W49
15,A20 MAY 취창,4,A20 MAY 취창 | 에이 투 오 메이 취창 | 취창 A20 MAY | 취창 에이 투 오 메이,1,2025-W47,2025-W48
16,A20 MAY 캣,4,A20 MAY 캣 | 에이 투 오 메이 캣 | 캣 A20 MAY | 캣 에이 투 오 메이,1,2025-W47,2025-W48
17,ARrC 끼엔,4,ARrC 끼엔 | 끼엔 ARrC | 끼엔 아크 | 아크 끼엔,1,2025-W07,2025-W10
17,ARrC 끼엔,4,ARrC 끼엔 | 끼엔 ARrC | 끼엔 아크 | 아크 끼엔,2,2025-W29,2025-W32
17,ARrC 끼엔,4,ARrC 끼엔 | 끼엔 ARrC | 끼엔 아크 | 아크 끼엔,3,2025-W44,2025-W45
18,ARrC 도하,4,ARrC 도하 | 도하 ARrC | 도하 아크 | 아크 도하,1,2025-W07,2025-W10
18,ARrC 도하,4,ARrC 도하 | 도하 ARrC | 도하 아크 | 아크 도하,2,2025-W29,2025-W34
18,ARrC 도하,4,ARrC 도하 | 도하 ARrC | 도하 아크 | 아크 도하,3,2025-W44,2025-W46
19,ARrC 리오토,4,ARrC 리오토 | 리오토 ARrC | 리오토 아크 | 아크 리오토,1,2025-W07,2025-W10
19,ARrC 리오토,4,ARrC 리오토 | 리오토 ARrC | 리오토 아크 | 아크 리오토,2,2025-W29,2025-W31
19,ARrC 리오토,4,ARrC 리오토 | 리오토 ARrC | 리오토 아크 | 아크 리오토,3,2025-W33,2025-W34
19,ARrC 리오토,4,ARrC 리오토 | 리오토 ARrC | 리오토 아크 | 아크 리오토,4,2025-W44,2025-W46
20,ARrC 앤디,4,ARrC 앤디 | 아크 앤디 | 앤디 ARrC | 앤디 아크,1,2025-W07,2025-W10
20,ARrC 앤디,4,ARrC 앤디 | 아크 앤디 | 앤디 ARrC | 앤디 아크,2,2025-W29,2025-W34
20,ARrC 앤디,4,ARrC 앤디 | 아크 앤디 | 앤디 ARrC | 앤디 아크,3,2025-W44,2025-W46
21,ARrC 지빈,4,ARrC 지빈 | 아크 지빈 | 지빈 ARrC | 지빈 아크,1,2025-W07,2025-W10
21,ARrC 지빈,4,ARrC 지빈 | 아크 지빈 | 지빈 ARrC | 지빈 아크,2,2025-W29,2025-W31
21,ARrC 지빈,4,ARrC 지빈 | 아크 지빈 | 지빈 ARrC | 지빈 아크,3,2025-W33,2025-W34
21,ARrC 지빈,4,ARrC 지빈 | 아크 지빈 | 지빈 ARrC | 지빈 아크,4,2025-W44,2025-W46
22,ARrC 최한,4,ARrC 최한 | 아크 최한 | 최한 ARrC | 최한 아크,1,2025-W07,2025-W10
22,ARrC 최한,4,ARrC 최한 | 아크 최한 | 최한 ARrC | 최한 아크,2,2025-W29,2025-W34
22,ARrC 최한,4,ARrC 최한 | 아크 최한 | 최한 ARrC | 최한 아크,3,2025-W44,2025-W46
23,ARrC 현민,4,ARrC 현민 | 아크 현민 | 현민 ARrC | 현민 아크,1,2025-W07,2025-W10
23,ARrC 현민,4,ARrC 현민 | 아크 현민 | 현민 ARrC | 현민 아크,2,2025-W29,2025-W34
23,ARrC 현민,4,ARrC 현민 | 아크 현민 | 현민 ARrC | 현민 아크,3,2025-W44,2025-W46
24,AxMxP 김신,4,AxMxP 김신 | 김신 AxMxP | 김신 에이엠피 | 에이엠피 김신,1,2025-W50,2025-W52
25,AxMxP 주환,4,AxMxP 주환 | 에이엠피 주환 | 주환 AxMxP | 주환 에이엠피,1,2025-W50,2025-W52
26,AxMxP 크루,4,AxMxP 크루 | 에이엠피 크루 | 크루 AxMxP | 크루 에이엠피,1,2025-W50,2025-W52
27,AxMxP 하유준,4,AxMxP 하유준 | 에이엠피 하유준 | 하유준 AxMxP | 하유준 에이엠피,1,2025-W50,2025-W52
28,B1A4 공찬,4,B1A4 공찬 | 공찬 B1A4 | 공찬 비원에이포 | 비원에이포 공찬,1,2023-W52,2023-W52
28,B1A4 공찬,4,B1A4 공찬 | 공찬 B1A4 | 공찬 비원에이포 | 비원에이포 공찬,2,2024-W32,2024-W34
28,B1A4 공찬,4,B1A4 공찬 | 공찬 B1A4 | 공찬 비원에이포 | 비원에이포 공찬,3,2025-W18,2025-W20
29,B1A4 산들,4,B1A4 산들 | 비원에이포 산들 | 산들 B1A4 | 산들 비원에이포,1,2023-W52,2023-W52
29,B1A4 산들,4,B1A4 산들 | 비원에이포 산들 | 산들 B1A4 | 산들 비원에이포,2,2024-W12,2024-W13
29,B1A4 산들,4,B1A4 산들 | 비원에이포 산들 | 산들 B1A4 | 산들 비원에이포,3,2025-W18,2025-W20
30,B1A4 신우,4,B1A4 신우 | 비원에이포 신우 | 신우 B1A4 | 신우 비원에이포,1,2025-W18,2025-W20
31,BAE173,2,BAE173 | 비에이이173,1,2024-W10,2024-W12
32,BAE173 도하,4,BAE173 도하 | 도하 BAE173 | 도하 비에이이173 | 비에이이173 도하,1,2024-W10,2024-W12
33,BAE173 무진,4,BAE173 무진 | 무진 BAE173 | 무진 비에이이173 | 비에이이173 무진,1,2024-W10,2024-W12
34,BAE173 영서,4,BAE173 영서 | 비에이이173 영서 | 영서 BAE173 | 영서 비에이이173,1,2024-W10,2024-W12
35,BAE173 유준,4,BAE173 유준 | 비에이이173 유준 | 유준 BAE173 | 유준 비에이이173,1,2024-W10,2024-W12
36,BAE173 전민욱,4,BAE173 전민욱 | 비에이이173 전민욱 | 전민욱 BAE173 | 전민욱 비에이이173,1,2024-W10,2024-W12
37,BAE173 준서,4,BAE173 준서 | 비에이이173 준서 | 준서 BAE173 | 준서 비에이이173,1,2024-W10,2024-W12
38,BAE173 한결,4,BAE173 한결 | 비에이이173 한결 | 한결 BAE173 | 한결 비에이이173,1,2024-W10,2024-W12
39,EXO 첸,4,EXO 첸 | 엑소 첸 | 첸 EXO | 첸 엑소,1,2025-W39,2025-W43
40,FT아일랜드 이재진,4,FTISLAND 이재진 | FT아일랜드 이재진 | 이재진 FTISLAND | 이재진 FT아일랜드,1,2024-W22,2024-W27
41,FT아일랜드 이홍기,4,FTISLAND 이홍기 | FT아일랜드 이홍기 | 이홍기 FTISLAND | 이홍기 FT아일랜드,1,2024-W22,2024-W27
42,FT아일랜드 최민환,4,FTISLAND 최민환 | FT아일랜드 최민환 | 최민환 FTISLAND | 최민환 FT아일랜드,1,2024-W22,2024-W27
43,GOD 김태우,4,GOD 김태우 | 김태우 GOD | 김태우 지오디 | 지오디 김태우,1,2025-W17,2025-W20
44,GOD 데니안,4,GOD 데니안 | 데니안 GOD | 데니안 지오디 | 지오디 데니안,1,2024-W47,2024-W51
44,GOD 데니안,4,GOD 데니안 | 데니안 GOD | 데니안 지오디 | 지오디 데니안,2,2025-W19,2025-W22
45,GOD 박준형,4,GOD 박준형 | 박준형 GOD | 박준형 지오디 | 지오디 박준형,1,2025-W28,2025-W33
46,GOD 손호영,4,GOD 손호영 | 손호영 GOD | 손호영 지오디 | 지오디 손호영,1,2024-W38,2024-W40
